Time of Day,Activity,Age,Heart Rate,Weather,Day of Week,Recent Events,Battery Status,Sleep Score,Daily Activity,Sleep,Running,Swimming,Calories Burn,Heart Rate (show),Steps,Consumed,Weather (show),Chance of Rain,Events,Battery
Night,Resting,88,146,Cold,Holiday,YES,82,27,0,1,0,0,0,1,0,1,1,0,1,0
Noon,Swimming,29,194,Rainy,Holiday,YES,17,26,1,1,0,1,1,1,0,0,1,1,1,1
Night,Swimming,62,75,Cold,Holiday,NO,73,7,1,1,0,1,1,0,0,0,1,0,0,0
Night,Resting,21,82,Clear,Holiday,YES,14,42,0,1,0,0,0,0,0,1,0,0,1,1
Morning,Running,58,117,Rainy,Weekday,YES,49,47,1,1,1,0,1,1,1,0,1,1,1,0
Noon,Driving,26,150,Rainy,Weekday,NO,29,53,1,1,0,0,0,1,0,0,1,1,0,0
Morning,Driving,73,42,Clear,Holiday,YES,95,59,1,1,0,0,0,1,0,0,0,0,1,0
Noon,Swimming,51,118,Clear,Weekday,NO,4,38,1,1,0,1,1,1,0,0,0,0,0,1
Noon,Swimming,38,154,Clear,Weekday,YES,82,69,1,0,0,1,1,1,0,0,0,0,1,0
Noon,Running,28,147,Rainy,Holiday,NO,20,87,1,0,1,0,1,1,1,0,1,1,0,0
Noon,Walking,20,83,Cold,Weekday,YES,47,92,1,0,0,0,1,0,1,0,1,0,1,0
Noon,Resting,59,145,Rainy,Holiday,NO,9,98,0,0,0,0,0,1,0,1,1,1,0,1
Night,Swimming,80,147,Cold,Holiday,NO,77,53,1,1,0,1,1,1,0,0,1,0,0,0
Morning,Driving,67,33,Rainy,Holiday,NO,79,15,1,1,0,0,0,1,0,0,1,1,0,0
Night,Running,43,104,Rainy,Weekday,NO,27,96,1,0,1,0,1,1,1,0,1,1,0,0
Noon,Resting,29,78,Clear,Weekday,YES,15,26,0,1,0,0,0,0,0,1,0,0,1,1
Morning,Running,59,36,Cold,Weekday,YES,92,48,1,1,1,0,1,1,1,0,1,0,1,0
Noon,Resting,97,139,Rainy,Weekday,NO,19,95,0,0,0,0,0,1,0,1,1,1,0,1
Morning,Resting,19,151,Rainy,Holiday,YES,90,19,0,1,0,0,0,1,0,0,1,1,1,0
Night,Swimming,41,40,Clear,Holiday,YES,52,9,1,1,0,1,1,1,0,0,0,0,1,0
Morning,Running,61,121,Clear,Weekday,YES,26,64,1,0,1,0,1,1,1,0,0,0,1,0
Morning,Running,24,52,Cold,Holiday,YES,89,93,1,0,1,0,1,1,1,0,1,0,1,0
Morning,Driving,93,57,Rainy,Holiday,YES,26,54,1,1,0,0,0,1,0,0,1,1,1,0
Morning,Driving,12,140,Cold,Weekday,NO,26,51,1,1,0,0,0,1,0,0,1,0,0,0
Morning,Swimming,46,86,Rainy,Holiday,NO,46,39,1,1,0,1,1,0,0,0,1,1,0,0
Noon,Swimming,49,55,Cold,Weekday,NO,92,4,1,1,0,1,1,1,0,0,1,0,0,0
Morning,Walking,81,182,Clear,Holiday,NO,49,3,1,1,0,0,1,1,1,0,0,0,0,0
Morning,Driving,49,83,Rainy,Weekday,YES,82,64,1,0,0,0,0,0,0,0,1,1,1,0
Night,Resting,65,58,Cold,Holiday,YES,96,29,0,1,0,0,0,1,0,1,1,0,1,0
Morning,Running,32,126,Clear,Holiday,NO,53,11,1,1,1,0,1,1,1,0,0,0,0,0
Night,Swimming,20,193,Clear,Weekday,YES,3,97,1,0,0,1,1,1,0,0,0,0,1,1
Noon,Running,73,43,Cold,Weekday,YES,66,58,1,1,1,0,1,1,1,0,1,0,1,0
Morning,Running,17,107,Rainy,Weekday,NO,97,75,1,0,1,0,1,1,1,0,1,1,0,0
Night,Walking,65,64,Rainy,Weekday,YES,42,27,1,1,0,0,1,0,1,0,1,1,1,0
Night,Driving,69,59,Clear,Holiday,NO,19,97,1,0,0,0,0,1,0,0,0,0,0,1
Noon,Swimming,19,121,Rainy,Holiday,NO,17,21,1,1,0,1,1,1,0,0,1,1,0,1
Morning,Running,48,46,Rainy,Weekday,YES,33,39,1,1,1,0,1,1,1,0,1,1,1,0
Morning,Swimming,37,187,Rainy,Holiday,YES,76,95,1,0,0,1,1,1,0,0,1,1,1,0
Night,Resting,58,122,Clear,Weekday,NO,49,46,0,1,0,0,0,1,0,1,0,0,0,0
Morning,Walking,45,108,Cold,Weekday,NO,56,66,1,0,0,0,1,1,1,0,1,0,0,0
Night,Resting,22,139,Rainy,Holiday,YES,63,91,0,0,0,0,0,1,0,1,1,1,1,0
Morning,Swimming,45,131,Clear,Holiday,NO,3,36,1,1,0,1,1,1,0,0,0,0,0,1
Night,Swimming,35,135,Clear,Weekday,NO,49,75,1,0,0,1,1,1,0,0,0,0,0,0
Morning,Driving,95,76,Cold,Weekday,NO,55,82,1,0,0,0,0,0,0,0,1,0,0,0
Noon,Running,13,93,Rainy,Weekday,YES,26,65,1,0,1,0,1,0,1,0,1,1,1,0
Morning,Running,91,195,Rainy,Holiday,NO,99,63,1,0,1,0,1,1,1,0,1,1,0,0
Morning,Resting,73,93,Cold,Holiday,YES,72,99,0,0,0,0,0,0,0,0,1,0,1,0
Noon,Walking,47,116,Cold,Holiday,NO,52,35,1,1,0,0,1,1,1,0,1,0,0,0
Morning,Running,97,36,Clear,Holiday,YES,100,31,1,1,1,0,1,1,1,0,0,0,1,0
Noon,Driving,96,51,Clear,Weekday,NO,7,28,1,1,0,0,0,1,0,0,0,0,0,1
Morning,Resting,31,110,Cold,Weekday,YES,46,1,0,1,0,0,0,1,0,0,1,0,1,0
Night,Resting,11,198,Rainy,Weekday,YES,46,25,0,1,0,0,0,1,0,1,1,1,1,0
Night,Driving,40,103,Clear,Weekday,YES,100,43,1,1,0,0,0,1,0,0,0,0,1,0
Morning,Walking,20,167,Clear,Weekday,NO,16,84,1,0,0,0,1,1,1,0,0,0,0,1
Morning,Driving,55,164,Rainy,Weekday,NO,24,67,1,0,0,0,0,1,0,0,1,1,0,0
Morning,Walking,71,154,Clear,Holiday,NO,61,63,1,0,0,0,1,1,1,0,0,0,0,0
Night,Driving,78,79,Rainy,Holiday,YES,54,51,1,1,0,0,0,0,0,0,1,1,1,0
Morning,Driving,73,81,Rainy,Weekday,NO,62,2,1,1,0,0,0,0,0,0,1,1,0,0
Night,Swimming,19,190,Rainy,Weekday,YES,1,82,1,0,0,1,1,1,0,0,1,1,1,1
Noon,Resting,49,30,Cold,Holiday,NO,49,64,0,0,0,0,0,1,0,1,1,0,0,0
Night,Driving,33,191,Cold,Holiday,YES,25,74,1,0,0,0,0,1,0,0,1,0,1,0
Night,Driving,53,33,Cold,Holiday,YES,10,69,1,0,0,0,0,1,0,0,1,0,1,1
Noon,Running,69,174,Rainy,Holiday,YES,80,9,1,1,1,0,1,1,1,0,1,1,1,0
Night,Resting,71,161,Rainy,Weekday,NO,16,2,0,1,0,0,0,1,0,1,1,1,0,1
Morning,Running,96,200,Cold,Weekday,NO,58,34,1,1,1,0,1,1,1,0,1,0,0,0
Morning,Resting,26,33,Clear,Weekday,NO,72,60,0,0,0,0,0,1,0,0,0,0,0,0
Night,Running,74,30,Rainy,Weekday,YES,29,61,1,0,1,0,1,1,1,0,1,1,1,0
Morning,Driving,66,100,Clear,Weekday,YES,92,31,1,1,0,0,0,0,0,0,0,0,1,0
Night,Driving,64,64,Clear,Holiday,NO,6,10,1,1,0,0,0,0,0,0,0,0,0,1
Morning,Swimming,62,37,Rainy,Weekday,NO,16,76,1,0,0,1,1,1,0,0,1,1,0,1
Morning,Running,65,181,Rainy,Holiday,NO,20,36,1,1,1,0,1,1,1,0,1,1,0,0
Night,Walking,18,65,Clear,Weekday,YES,80,85,1,0,0,0,1,0,1,0,0,0,1,0
Morning,Swimming,31,152,Clear,Weekday,YES,71,49,1,1,0,1,1,1,0,0,0,0,1,0
Night,Running,22,72,Cold,Weekday,YES,78,70,1,0,1,0,1,0,1,0,1,0,1,0
Morning,Running,98,56,Cold,Weekday,YES,43,49,1,1,1,0,1,1,1,0,1,0,1,0
Morning,Swimming,57,61,Rainy,Weekday,YES,26,3,1,1,0,1,1,0,0,0,1,1,1,0
Noon,Driving,27,107,Cold,Holiday,NO,90,74,1,0,0,0,0,1,0,0,1,0,0,0
Noon,Running,85,150,Cold,Holiday,YES,78,5,1,1,1,0,1,1,1,0,1,0,1,0
Night,Driving,49,175,Cold,Holiday,YES,71,90,1,0,0,0,0,1,0,0,1,0,1,0
Noon,Swimming,26,185,Cold,Weekday,YES,33,61,1,0,0,1,1,1,0,0,1,0,1,0
Night,Driving,24,186,Clear,Weekday,YES,26,85,1,0,0,0,0,1,0,0,0,0,1,0
Noon,Resting,24,45,Rainy,Holiday,YES,45,90,0,0,0,0,0,1,0,1,1,1,1,0
Morning,Walking,88,128,Cold,Weekday,NO,84,26,1,1,0,0,1,1,1,0,1,0,0,0
Night,Running,72,76,Clear,Weekday,YES,63,72,1,0,1,0,1,0,1,0,0,0,1,0
Night,Walking,48,60,Clear,Holiday,YES,67,5,1,1,0,0,1,0,1,0,0,0,1,0
Morning,Driving,22,33,Clear,Weekday,YES,52,15,1,1,0,0,0,1,0,0,0,0,1,0
Night,Running,90,194,Cold,Holiday,NO,68,16,1,1,1,0,1,1,1,0,1,0,0,0
Night,Driving,41,46,Cold,Weekday,NO,26,1,1,1,0,0,0,1,0,0,1,0,0,0
Noon,Resting,18,68,Rainy,Holiday,NO,75,16,0,1,0,0,0,0,0,1,1,1,0,0
Night,Swimming,49,77,Cold,Weekday,YES,2,37,1,1,0,1,1,0,0,0,1,0,1,1
Morning,Running,29,68,Cold,Weekday,NO,14,3,1,1,1,0,1,0,1,0,1,0,0,1
Noon,Resting,99,161,Clear,Holiday,YES,30,52,0,1,0,0,0,1,0,1,0,0,1,0
Noon,Resting,100,59,Rainy,Weekday,YES,49,47,0,1,0,0,0,1,0,1,1,1,1,0
Morning,Running,94,187,Cold,Weekday,NO,12,95,1,0,1,0,1,1,1,0,1,0,0,1
Morning,Driving,91,51,Cold,Holiday,YES,90,13,1,1,0,0,0,1,0,0,1,0,1,0
Noon,Resting,86,95,Clear,Weekday,YES,44,80,0,0,0,0,0,0,0,1,0,0,1,0
Night,Walking,89,137,Clear,Holiday,YES,33,55,1,1,0,0,1,1,1,0,0,0,1,0
Noon,Resting,82,41,Cold,Weekday,NO,13,21,0,1,0,0,0,1,0,1,1,0,0,1
Morning,Driving,72,65,Rainy,Weekday,YES,78,66,1,0,0,0,0,0,0,0,1,1,1,0
Noon,Driving,85,47,Rainy,Weekday,YES,88,54,1,1,0,0,0,1,0,0,1,1,1,0
Morning,Walking,53,119,Clear,Weekday,NO,98,27,1,1,0,0,1,1,1,0,0,0,0,0
Noon,Resting,47,30,Clear,Holiday,YES,26,38,0,1,0,0,0,1,0,1,0,0,1,0
Night,Driving,92,156,Cold,Weekday,YES,21,90,1,0,0,0,0,1,0,0,1,0,1,0
Noon,Running,69,119,Clear,Holiday,NO,28,58,1,1,1,0,1,1,1,0,0,0,0,0
Noon,Swimming,80,116,Cold,Weekday,YES,48,62,1,0,0,1,1,1,0,0,1,0,1,0
Morning,Swimming,57,119,Rainy,Weekday,YES,100,46,1,1,0,1,1,1,0,0,1,1,1,0
Morning,Swimming,27,163,Rainy,Weekday,YES,40,89,1,0,0,1,1,1,0,0,1,1,1,0
Morning,Resting,25,99,Cold,Weekday,YES,66,11,0,1,0,0,0,0,0,0,1,0,1,0
Noon,Walking,64,73,Clear,Holiday,YES,73,72,1,0,0,0,1,0,1,0,0,0,1,0
Night,Driving,48,181,Rainy,Holiday,NO,87,8,1,1,0,0,0,1,0,0,1,1,0,0
Morning,Running,77,115,Clear,Holiday,NO,79,97,1,0,1,0,1,1,1,0,0,0,0,0
Morning,Running,68,48,Rainy,Holiday,NO,77,71,1,0,1,0,1,1,1,0,1,1,0,0
Noon,Resting,98,130,Cold,Weekday,NO,23,64,0,0,0,0,0,1,0,1,1,0,0,0
Morning,Swimming,71,175,Cold,Holiday,YES,81,21,1,1,0,1,1,1,0,0,1,0,1,0
Night,Resting,22,124,Cold,Holiday,YES,48,72,0,0,0,0,0,1,0,1,1,0,1,0
Night,Walking,90,130,Rainy,Weekday,YES,2,63,1,0,0,0,1,1,1,0,1,1,1,1
Morning,Walking,15,59,Clear,Weekday,YES,84,85,1,0,0,0,1,1,1,0,0,0,1,0
Morning,Driving,92,199,Clear,Weekday,YES,20,64,1,0,0,0,0,1,0,0,0,0,1,0
Noon,Driving,86,62,Clear,Weekday,NO,59,20,1,1,0,0,0,0,0,0,0,0,0,0
Night,Walking,69,41,Rainy,Holiday,NO,46,8,1,1,0,0,1,1,1,0,1,1,0,0
Night,Walking,99,147,Rainy,Holiday,YES,3,58,1,1,0,0,1,1,1,0,1,1,1,1
Morning,Walking,23,123,Rainy,Weekday,YES,55,46,1,1,0,0,1,1,1,0,1,1,1,0
Noon,Resting,63,184,Rainy,Weekday,YES,12,31,0,1,0,0,0,1,0,1,1,1,1,1
Night,Walking,13,196,Rainy,Weekday,NO,40,93,1,0,0,0,1,1,1,0,1,1,0,0
Night,Running,48,166,Clear,Holiday,YES,66,9,1,1,1,0,1,1,1,0,0,0,1,0
Noon,Swimming,81,178,Rainy,Holiday,YES,100,15,1,1,0,1,1,1,0,0,1,1,1,0
Noon,Walking,34,105,Rainy,Weekday,YES,78,94,1,0,0,0,1,1,1,0,1,1,1,0
Night,Swimming,86,58,Clear,Weekday,NO,16,26,1,1,0,1,1,1,0,0,0,0,0,1
Night,Resting,41,190,Rainy,Holiday,YES,83,10,0,1,0,0,0,1,0,1,1,1,1,0
Noon,Swimming,68,146,Clear,Weekday,NO,34,29,1,1,0,1,1,1,0,0,0,0,0,0
Night,Resting,72,44,Clear,Weekday,NO,44,80,0,0,0,0,0,1,0,1,0,0,0,0
Morning,Running,47,31,Cold,Holiday,NO,6,36,1,1,1,0,1,1,1,0,1,0,0,1
Morning,Resting,62,146,Cold,Weekday,NO,77,84,0,0,0,0,0,1,0,0,1,0,0,0
Noon,Resting,76,47,Cold,Holiday,NO,64,37,0,1,0,0,0,1,0,1,1,0,0,0
Noon,Driving,37,32,Cold,Weekday,NO,100,86,1,0,0,0,0,1,0,0,1,0,0,0
Noon,Walking,12,164,Rainy,Weekday,YES,22,71,1,0,0,0,1,1,1,0,1,1,1,0
Morning,Walking,89,200,Cold,Holiday,YES,18,23,1,1,0,0,1,1,1,0,1,0,1,1
Night,Running,31,195,Clear,Holiday,YES,12,41,1,1,1,0,1,1,1,0,0,0,1,1
Morning,Running,47,194,Rainy,Weekday,NO,52,93,1,0,1,0,1,1,1,0,1,1,0,0
Night,Walking,81,190,Cold,Holiday,YES,94,80,1,0,0,0,1,1,1,0,1,0,1,0
Morning,Driving,81,137,Clear,Weekday,NO,51,28,1,1,0,0,0,1,0,0,0,0,0,0
Night,Walking,71,124,Rainy,Weekday,NO,71,48,1,1,0,0,1,1,1,0,1,1,0,0
Morning,Driving,66,151,Rainy,Holiday,NO,96,38,1,1,0,0,0,1,0,0,1,1,0,0
Noon,Running,15,40,Cold,Weekday,YES,48,31,1,1,1,0,1,1,1,0,1,0,1,0
Morning,Swimming,87,97,Rainy,Weekday,NO,19,14,1,1,0,1,1,0,0,0,1,1,0,1
Night,Running,41,152,Clear,Holiday,NO,6,97,1,0,1,0,1,1,1,0,0,0,0,1
Morning,Running,19,142,Rainy,Holiday,YES,84,73,1,0,1,0,1,1,1,0,1,1,1,0
Morning,Resting,12,127,Clear,Weekday,YES,27,91,0,0,0,0,0,1,0,0,0,0,1,0
Morning,Resting,68,122,Rainy,Holiday,NO,53,88,0,0,0,0,0,1,0,0,1,1,0,0
Noon,Resting,85,51,Cold,Holiday,NO,48,77,0,0,0,0,0,1,0,1,1,0,0,0
Morning,Resting,58,156,Clear,Holiday,YES,7,90,0,0,0,0,0,1,0,0,0,0,1,1
Noon,Driving,68,163,Rainy,Holiday,YES,59,29,1,1,0,0,0,1,0,0,1,1,1,0
Noon,Walking,40,199,Rainy,Weekday,YES,69,51,1,1,0,0,1,1,1,0,1,1,1,0
Morning,Swimming,78,54,Rainy,Weekday,NO,11,49,1,1,0,1,1,1,0,0,1,1,0,1
Morning,Running,71,114,Clear,Weekday,YES,15,43,1,1,1,0,1,1,1,0,0,0,1,1
Morning,Driving,61,84,Clear,Holiday,YES,64,92,1,0,0,0,0,0,0,0,0,0,1,0
Night,Swimming,98,173,Clear,Holiday,YES,3,92,1,0,0,1,1,1,0,0,0,0,1,1
Morning,Driving,50,124,Cold,Holiday,NO,69,72,1,0,0,0,0,1,0,0,1,0,0,0
Noon,Driving,40,171,Cold,Holiday,YES,23,87,1,0,0,0,0,1,0,0,1,0,1,0
Morning,Running,94,196,Clear,Holiday,YES,53,93,1,0,1,0,1,1,1,0,0,0,1,0
Night,Walking,93,185,Rainy,Holiday,YES,37,5,1,1,0,0,1,1,1,0,1,1,1,0
Morning,Resting,31,148,Cold,Holiday,YES,9,42,0,1,0,0,0,1,0,0,1,0,1,1
Night,Walking,13,38,Clear,Weekday,YES,15,7,1,1,0,0,1,1,1,0,0,0,1,1
Night,Running,22,179,Rainy,Weekday,NO,3,42,1,1,1,0,1,1,1,0,1,1,0,1
Morning,Running,54,189,Cold,Holiday,NO,93,36,1,1,1,0,1,1,1,0,1,0,0,0
Noon,Running,51,71,Rainy,Holiday,NO,70,27,1,1,1,0,1,0,1,0,1,1,0,0
Night,Swimming,58,82,Rainy,Holiday,YES,17,58,1,1,0,1,1,0,0,0,1,1,1,1
Morning,Walking,29,103,Rainy,Weekday,NO,26,46,1,1,0,0,1,1,1,0,1,1,0,0
Morning,Walking,86,68,Rainy,Weekday,NO,21,66,1,0,0,0,1,0,1,0,1,1,0,0
Noon,Driving,90,151,Cold,Holiday,NO,72,25,1,1,0,0,0,1,0,0,1,0,0,0
Night,Driving,63,44,Cold,Holiday,YES,21,73,1,0,0,0,0,1,0,0,1,0,1,0
Night,Driving,45,186,Cold,Weekday,YES,11,27,1,1,0,0,0,1,0,0,1,0,1,1
Morning,Running,10,152,Clear,Weekday,NO,38,1,1,1,1,0,1,1,1,0,0,0,0,0
Morning,Walking,24,140,Cold,Weekday,NO,72,87,1,0,0,0,1,1,1,0,1,0,0,0
Noon,Running,86,160,Rainy,Weekday,YES,88,74,1,0,1,0,1,1,1,0,1,1,1,0
Noon,Swimming,26,112,Cold,Holiday,YES,35,42,1,1,0,1,1,1,0,0,1,0,1,0
Night,Driving,33,39,Rainy,Weekday,NO,14,52,1,1,0,0,0,1,0,0,1,1,0,1
Night,Running,67,121,Clear,Weekday,YES,14,25,1,1,1,0,1,1,1,0,0,0,1,1
Morning,Running,81,58,Rainy,Holiday,NO,10,54,1,1,1,0,1,1,1,0,1,1,0,1
Night,Swimming,100,64,Rainy,Weekday,YES,12,67,1,0,0,1,1,0,0,0,1,1,1,1
Noon,Resting,32,35,Rainy,Weekday,NO,38,6,0,1,0,0,0,1,0,1,1,1,0,0
Noon,Walking,55,169,Clear,Weekday,NO,34,58,1,1,0,0,1,1,1,0,0,0,0,0
Morning,Resting,81,140,Cold,Holiday,YES,41,70,0,0,0,0,0,1,0,0,1,0,1,0
Noon,Driving,17,67,Cold,Weekday,NO,10,53,1,1,0,0,0,0,0,0,1,0,0,1
Noon,Running,68,106,Clear,Holiday,NO,17,66,1,0,1,0,1,1,1,0,0,0,0,1
Noon,Swimming,99,122,Rainy,Holiday,NO,17,58,1,1,0,1,1,1,0,0,1,1,0,1
Noon,Swimming,68,176,Cold,Weekday,YES,67,82,1,0,0,1,1,1,0,0,1,0,1,0
Morning,Walking,22,96,Clear,Weekday,YES,62,87,1,0,0,0,1,0,1,0,0,0,1,0
Morning,Resting,48,165,Cold,Weekday,YES,95,2,0,1,0,0,0,1,0,0,1,0,1,0
Night,Walking,37,37,Clear,Weekday,NO,1,76,1,0,0,0,1,1,1,0,0,0,0,1
Noon,Running,98,151,Rainy,Holiday,YES,12,22,1,1,1,0,1,1,1,0,1,1,1,1
Night,Walking,70,113,Cold,Weekday,NO,4,37,1,1,0,0,1,1,1,0,1,0,0,1
Morning,Swimming,25,161,Clear,Weekday,NO,42,20,1,1,0,1,1,1,0,0,0,0,0,0
Morning,Swimming,11,114,Cold,Weekday,YES,13,24,1,1,0,1,1,1,0,0,1,0,1,1
Morning,Driving,91,74,Cold,Holiday,YES,98,84,1,0,0,0,0,0,0,0,1,0,1,0
Morning,Driving,26,165,Cold,Weekday,NO,85,65,1,0,0,0,0,1,0,0,1,0,0,0
Morning,Running,39,116,Cold,Weekday,NO,86,65,1,0,1,0,1,1,1,0,1,0,0,0
Morning,Resting,22,45,Clear,Holiday,YES,4,81,0,0,0,0,0,1,0,0,0,0,1,1
Morning,Walking,91,106,Rainy,Holiday,YES,82,1,1,1,0,0,1,1,1,0,1,1,1,0
Noon,Running,22,38,Clear,Weekday,YES,69,94,1,0,1,0,1,1,1,0,0,0,1,0
Night,Driving,52,89,Clear,Weekday,NO,19,3,1,1,0,0,0,0,0,0,0,0,0,1
Morning,Walking,94,107,Clear,Weekday,NO,2,46,1,1,0,0,1,1,1,0,0,0,0,1
Noon,Driving,30,106,Rainy,Weekday,NO,12,55,1,1,0,0,0,1,0,0,1,1,0,1
Noon,Walking,64,100,Cold,Weekday,NO,81,75,1,0,0,0,1,0,1,0,1,0,0,0
Night,Resting,90,44,Cold,Holiday,NO,74,88,0,0,0,0,0,1,0,1,1,0,0,0
Morning,Running,49,100,Cold,Holiday,YES,98,86,1,0,1,0,1,0,1,0,1,0,1,0
Night,Walking,92,131,Rainy,Weekday,YES,6,64,1,0,0,0,1,1,1,0,1,1,1,1
Morning,Swimming,24,198,Cold,Weekday,NO,8,45,1,1,0,1,1,1,0,0,1,0,0,1
Noon,Swimming,82,51,Rainy,Holiday,NO,51,26,1,1,0,1,1,1,0,0,1,1,0,0
Noon,Walking,61,181,Cold,Weekday,YES,11,77,1,0,0,0,1,1,1,0,1,0,1,1
Noon,Walking,83,142,Cold,Weekday,YES,63,65,1,0,0,0,1,1,1,0,1,0,1,0
Noon,Walking,62,30,Clear,Weekday,YES,57,24,1,1,0,0,1,1,1,0,0,0,1,0
Night,Swimming,96,39,Rainy,Weekday,YES,12,74,1,0,0,1,1,1,0,0,1,1,1,1
Morning,Swimming,61,139,Clear,Weekday,NO,73,35,1,1,0,1,1,1,0,0,0,0,0,0
Morning,Walking,39,142,Clear,Holiday,YES,2,24,1,1,0,0,1,1,1,0,0,0,1,1
Night,Driving,42,79,Clear,Weekday,NO,8,28,1,1,0,0,0,0,0,0,0,0,0,1
Morning,Driving,66,41,Rainy,Weekday,YES,11,100,1,0,0,0,0,1,0,0,1,1,1,1
Noon,Resting,61,118,Rainy,Weekday,YES,53,80,0,0,0,0,0,1,0,1,1,1,1,0
Morning,Running,18,183,Cold,Holiday,YES,100,16,1,1,1,0,1,1,1,0,1,0,1,0
Noon,Driving,63,141,Clear,Holiday,NO,10,59,1,1,0,0,0,1,0,0,0,0,0,1
Night,Swimming,10,107,Cold,Holiday,NO,85,81,1,0,0,1,1,1,0,0,1,0,0,0
Morning,Driving,53,198,Clear,Holiday,YES,84,54,1,1,0,0,0,1,0,0,0,0,1,0
Night,Resting,84,193,Rainy,Weekday,NO,8,79,0,0,0,0,0,1,0,1,1,1,0,1
Morning,Resting,89,150,Rainy,Holiday,NO,36,16,0,1,0,0,0,1,0,0,1,1,0,0
Noon,Running,18,52,Rainy,Weekday,YES,93,15,1,1,1,0,1,1,1,0,1,1,1,0
Night,Driving,41,200,Clear,Weekday,YES,76,98,1,0,0,0,0,1,0,0,0,0,1,0
Morning,Swimming,24,163,Rainy,Holiday,NO,14,11,1,1,0,1,1,1,0,0,1,1,0,1
Noon,Swimming,21,200,Clear,Holiday,NO,54,65,1,0,0,1,1,1,0,0,0,0,0,0
Night,Walking,87,54,Cold,Holiday,NO,85,79,1,0,0,0,1,1,1,0,1,0,0,0
Night,Swimming,66,47,Clear,Holiday,YES,86,90,1,0,0,1,1,1,0,0,0,0,1,0
Morning,Running,17,170,Cold,Holiday,YES,21,68,1,0,1,0,1,1,1,0,1,0,1,0
Morning,Running,81,72,Clear,Weekday,NO,50,43,1,1,1,0,1,0,1,0,0,0,0,0
Morning,Swimming,36,107,Cold,Holiday,YES,94,69,1,0,0,1,1,1,0,0,1,0,1,0
Noon,Swimming,71,57,Rainy,Holiday,YES,39,99,1,0,0,1,1,1,0,0,1,1,1,0
Morning,Walking,21,175,Cold,Holiday,NO,20,13,1,1,0,0,1,1,1,0,1,0,0,0
Night,Swimming,74,88,Rainy,Weekday,NO,88,10,1,1,0,1,1,0,0,0,1,1,0,0
Night,Walking,51,92,Rainy,Holiday,YES,87,75,1,0,0,0,1,0,1,0,1,1,1,0
Morning,Walking,71,121,Cold,Weekday,YES,7,82,1,0,0,0,1,1,1,0,1,0,1,1
Morning,Swimming,20,85,Clear,Holiday,NO,9,98,1,0,0,1,1,0,0,0,0,0,0,1
Night,Resting,52,184,Clear,Holiday,YES,1,41,0,1,0,0,0,1,0,1,0,0,1,1
Noon,Resting,26,189,Clear,Weekday,YES,26,50,0,1,0,0,0,1,0,1,0,0,1,0
Morning,Walking,41,140,Clear,Holiday,NO,38,87,1,0,0,0,1,1,1,0,0,0,0,0
Morning,Swimming,94,166,Clear,Weekday,NO,38,71,1,0,0,1,1,1,0,0,0,0,0,0
Night,Resting,94,97,Rainy,Weekday,YES,61,59,0,1,0,0,0,0,0,1,1,1,1,0
Morning,Swimming,49,75,Clear,Weekday,YES,44,39,1,1,0,1,1,0,0,0,0,0,1,0
Noon,Swimming,32,96,Rainy,Holiday,YES,86,3,1,1,0,1,1,0,0,0,1,1,1,0
Night,Swimming,65,183,Rainy,Holiday,NO,44,76,1,0,0,1,1,1,0,0,1,1,0,0
Morning,Driving,15,165,Rainy,Holiday,YES,74,7,1,1,0,0,0,1,0,0,1,1,1,0
Night,Swimming,95,35,Cold,Weekday,YES,62,49,1,1,0,1,1,1,0,0,1,0,1,0
Morning,Driving,59,53,Cold,Holiday,NO,6,26,1,1,0,0,0,1,0,0,1,0,0,1
Morning,Walking,46,123,Rainy,Weekday,NO,17,33,1,1,0,0,1,1,1,0,1,1,0,1
Morning,Resting,73,42,Cold,Holiday,YES,51,48,0,1,0,0,0,1,0,0,1,0,1,0
Noon,Resting,63,54,Clear,Weekday,NO,38,79,0,0,0,0,0,1,0,1,0,0,0,0
Noon,Resting,81,177,Clear,Weekday,NO,24,2,0,1,0,0,0,1,0,1,0,0,0,0
Night,Resting,58,147,Rainy,Weekday,YES,51,71,0,0,0,0,0,1,0,1,1,1,1,0
Morning,Resting,20,111,Clear,Holiday,NO,10,32,0,1,0,0,0,1,0,0,0,0,0,1
Morning,Resting,97,140,Rainy,Weekday,NO,72,4,0,1,0,0,0,1,0,0,1,1,0,0
Noon,Resting,58,111,Rainy,Weekday,YES,21,20,0,1,0,0,0,1,0,1,1,1,1,0
Morning,Walking,30,95,Clear,Weekday,NO,70,36,1,1,0,0,1,0,1,0,0,0,0,0
Noon,Swimming,75,74,Cold,Weekday,YES,85,32,1,1,0,1,1,0,0,0,1,0,1,0
Morning,Running,72,143,Clear,Weekday,YES,57,28,1,1,1,0,1,1,1,0,0,0,1,0
Night,Driving,92,92,Clear,Weekday,NO,39,77,1,0,0,0,0,0,0,0,0,0,0,0
Morning,Running,37,105,Rainy,Holiday,NO,88,1,1,1,1,0,1,1,1,0,1,1,0,0
Morning,Running,26,143,Rainy,Holiday,NO,33,60,1,0,1,0,1,1,1,0,1,1,0,0
Noon,Swimming,15,140,Rainy,Weekday,YES,59,56,1,1,0,1,1,1,0,0,1,1,1,0
Morning,Swimming,28,176,Rainy,Holiday,NO,18,35,1,1,0,1,1,1,0,0,1,1,0,1
